Eta;Lambda;value
0.3;0.8;0.46286875009536743
0.3;0.9;0.678543746471405
0.3;1.0;0.8339999914169312
0.3;1.1;0.8846250772476196
0.3;1.2;0.95478755235672
0.4;0.8;0.6992250084877014
0.4;0.9;0.9630374908447266
0.4;1.0;0.9784625172615051
0.4;1.1;0.9861937761306763
0.4;1.2;0.9764062762260437
0.5;0.8;0.8577375411987305
0.5;0.9;0.8310750126838684
0.5;1.0;0.8218749761581421
0.5;1.1;0.9679562449455261
0.5;1.2;0.9672562479972839
0.6;0.8;0.7280812859535217
0.6;0.9;0.9194687604904175
0.6;1.0;0.8673499822616577
0.6;1.1;0.9029437899589539
0.6;1.2;0.9074000120162964
0.7;0.8;0.7682499289512634
0.7;0.9;0.8463062047958374
0.7;1.0;0.9079750180244446
0.7;1.1;0.8958936929702759
0.7;1.2;0.8349499702453613
