Eta;Lambda;value
0.4;0.8;0.7615000605583191
0.4;0.9;0.7567343711853027
0.4;1.0;0.7505260109901428
0.4;1.1;0.737919270992279
0.4;1.2;0.6748984456062317
0.5;0.8;0.7701301574707031
0.5;0.9;0.7510625720024109
0.5;1.0;0.7677421569824219
0.5;1.1;0.7007786631584167
0.5;1.2;0.6753463745117188
0.6;0.8;0.7531719207763672
0.6;0.9;0.7567030787467957
0.6;1.0;0.7540807723999023
0.6;1.1;0.7484583258628845
0.6;1.2;0.7037943005561829
0.7;0.8;0.7516067624092102
0.7;0.9;0.7566172480583191
0.7;1.0;0.7360885143280029
0.7;1.1;0.7284088134765625
0.7;1.2;0.6784947514533997
