step;LSTM baseline;LSTM+Autoconceptor;LSTM+FastWeights;2 layer Fast Weights
1314;6.5063581466674805;7.106424331665039;6.545604705810547;6.498816967010498
2628;6.243791103363037;6.306858062744141;6.535566329956055;6.434219837188721
3942;5.981865882873535;5.920259475708008;6.534749984741211;6.398472785949707
5256;5.7821784019470215;5.719781875610352;6.514339447021484;6.357328414916992
6570;5.647006988525391;5.563934326171875;6.500338554382324;6.142423629760742
7884;5.484987735748291;5.454183578491211;6.462391376495361;5.829858303070068
9198;5.374582290649414;5.376953125;6.424829006195068;5.639307022094727
10512;5.297071933746338;5.313848495483398;6.359126567840576;5.510051250457764
11826;5.223325729370117;5.28756856918335;6.1608967781066895;5.438908576965332
13140;5.168086528778076;5.2280049324035645;5.762143135070801;5.367462158203125
14454;5.1221418380737305;5.190948009490967;5.471135139465332;5.344661712646484
15768;5.095057964324951;5.1803364753723145;5.289821147918701;5.3064422607421875
17082;5.079351902008057;5.149060249328613;5.154325008392334;5.264362335205078
18396;5.050027847290039;5.136455535888672;5.079615116119385;5.259085178375244
19710;5.031643867492676;5.102560520172119;4.999929904937744;5.21872091293335
21024;5.029961109161377;5.070692539215088;4.946535587310791;5.199709415435791
22338;5.004937648773193;5.0799784660339355;4.906416416168213;5.1817450523376465
23652;5.004874229431152;5.068100929260254;4.874584674835205;5.161292552947998
24966;4.996310234069824;5.0318427085876465;4.848177909851074;5.155124664306641
26280;4.9825944900512695;5.031145095825195;4.819840908050537;5.137139797210693
27594;4.979190826416016;5.031615257263184;4.803030967712402;5.1231369972229
28908;4.979439735412598;5.022141456604004;4.789813041687012;5.112570285797119
30222;4.9816083908081055;5.006453514099121;4.77238130569458;5.101245403289795
31536;4.969212532043457;5.004096031188965;4.752010345458984;5.083134651184082
32850;4.973790168762207;5.010610580444336;4.752223491668701;5.0813093185424805
34164;4.964000225067139;4.98362398147583;4.745612621307373;5.068551063537598
35478;4.997702598571777;4.970432758331299;4.724238872528076;5.063661098480225
36792;4.971951961517334;4.974809646606445;4.734292507171631;5.047173500061035
38106;4.93874454498291;4.949142932891846;4.7229838371276855;5.04887580871582
39420;4.908779144287109;4.956645965576172;4.720392227172852;5.037413120269775
40734;4.898138046264648;4.948281288146973;4.70890998840332;5.026365280151367
42048;4.873167037963867;4.946018695831299;4.708594799041748;5.019441604614258
43362;4.8650031089782715;4.940927982330322;4.696962356567383;5.020610809326172
44676;4.847782611846924;4.949839115142822;4.708979606628418;5.00772762298584
45990;4.823137283325195;4.93105936050415;4.696321487426758;5.003644943237305
47304;4.822049140930176;4.9253926277160645;4.69785213470459;5.0082292556762695
48618;4.804059028625488;4.941965579986572;4.702261447906494;4.994862079620361
49932;4.793017864227295;4.9206223487854;4.697565078735352;4.9952473640441895
51246;4.780332088470459;4.924610614776611;4.689484119415283;4.983798027038574
52560;4.776611328125;4.9224042892456055;4.68285608291626;4.977993965148926
53874;4.775114059448242;4.910578727722168;4.685297012329102;4.973859786987305
55188;4.770219802856445;4.920500755310059;4.691742420196533;4.978262424468994
56502;4.75634765625;4.9179768562316895;4.682435512542725;4.963712692260742
57816;4.766498565673828;4.904739856719971;4.673121452331543;4.954190254211426
59130;4.75055456161499;4.921456813812256;4.686424732208252;4.971417427062988
60444;4.758172988891602;4.904053688049316;4.684103488922119;4.953548908233643
61758;4.758204936981201;4.904455661773682;4.686491966247559;4.958112716674805
63072;4.759380340576172;4.8962082862854;4.676119804382324;4.961657524108887
64386;4.7464919090271;4.899569511413574;4.670194625854492;4.952066421508789
